"JOB_ID";"Agency";"Posting_Type";"Number_Of_Positions";"Civil_Service_Title";"Job_Category";"Full_Time_Part_Time_Indicator";"Career_Level";"Work_Location";"Posting_Date";"Salary_Brackets"
707701;"OFFICE OF EMERGENCY MANAGEMENT";"External";1;"EMERGENCY PREPAREDNESS SPECIAL";"Public Safety, Inspections, & Enforcement";"Full-Time";"Experienced (non-manager)";"165 Cadman Plaza East";"5/5/2025";"$ 75 000 - $ 85 000"
637174;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"ASSOCIATE STAFF ANALYST";"Policy, Research, and Analysis";"Full-Time";"Experienced (non-manager)";"250 Church St., N.Y.";"5/25/2024";"$ 85 000 -$ 100 000"
637250;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"PUBLIC HEALTH EMERGENCY PREPAR";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"5/29/2024";"$ 65 000 - $ 75 000"
565700;"HRA/DEPT OF SOCIAL SERVICES";"External";1;"ADMINISTRATIVE STAFF ANALYST (";"Communications & Intergovernmental Affairs";"Full-Time";"Experienced (non-manager)";"253 Broadway New York Ny";"12/20/2022";"$ 100 000 - $ 120 000"
695980;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"AGENCY ATTORNEY";"Legal Affairs";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"1/8/2025";"$ 85 000 -$ 100 000"
700269;"LAW DEPARTMENT";"Internal";1;"ASSOCIATE STAFF ANALYST";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"100 Church St., N.Y.";"1/29/2025";"$ 100 000 - $ 120 000"
572619;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ADMINISTRATIVE PROJECT MANAGER";"Public Safety, Inspections, & Enforcement";"Full-Time";"Manager";"96-05 Horace Harding Expway";"3/28/2023";"More than $ 140 000"
636000;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"ADMINISTRATIVE CONSTRUCTION PR";"Engineering, Architecture, and Planning";"Full-Time";"Manager";"96-05 Horace Harding Expway";"5/22/2024";"More than $ 140 000"
697905;"DEPT OF CITYWIDE ADMIN SVCS";"External";10;"CITY CUSTODIAL ASSISTANT";"Building Operations & Maintanence";"Full-Time";"Entry-Level";"1 Centre St., N.Y.";"5/21/2025";"$ 35 000 - $ 45 000"
512652;"HRA/DEPT OF SOCIAL SERVICES";"Internal";2;"CLERICAL ASSOCIATE";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"400 8Th Ave., N.Y.";"1/28/2021";"$ 35 000 - $ 45 000"
680946;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"ASSOCIATE LABORATORY MICROBIOL";"Health";"Full-Time";"Experienced (non-manager)";"455 First Ave., N.Y.";"9/26/2024";"$ 85 000 -$ 100 000"
712291;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ASSISTANT MECHANICAL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"4/25/2025";"$ 85 000 -$ 100 000"
714290;"HOUSING PRESERVATION & DVLPMNT";"External";1;"COMMUNITY COORDINATOR";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"100 Gold Street";"5/12/2025";"$ 85 000 -$ 100 000"
684585;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"ASSISTANT ENVIRONMENTAL ENGINE";"Engineering, Architecture, and Planning";"Full-Time";"Entry-Level";"96-05 Horace Harding Expway";"10/28/2024";"$ 85 000 -$ 100 000"
705932;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"ASSISTANT COMMISSIONER (DEP)";"Finace, Accounting, and Procurement";"Full-Time";"Manager";"59-17 Junction Blvd Corona Ny";"3/10/2025";"More than $ 140 000"
642274;"DEPT OF YOUTH & COMM DEV SRVS";"Internal";1;"ASSOCIATE CONTRACT SPECIALIST";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"2 Lafayette St., N.Y.";"4/7/2025";"$ 100 000 - $ 120 000"
642135;"DEPT OF YOUTH & COMM DEV SRVS";"External";1;"ADM MANAGER-NON-MGRL FRM M1/M2";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"123 William Street, NY, NY";"12/17/2024";"More than $ 140 000"
595131;"HRA/DEPT OF SOCIAL SERVICES";"Internal";4;"CLERICAL ASSOCIATE";"Social Services";"Full-Time";"Entry-Level";"400 8Th Ave., N.Y.";"7/26/2023";"$ 45 000 - $ 55 000"
703161;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"SUMMER COLLEGE INTERN";"Engineering, Architecture, and Planning";"Full-Time";"Student";"96-05 Horace Harding Expway";"2/18/2025";"$ 35 000 - $ 45 000"
518043;"ADMIN FOR CHILDREN'S SVCS";"External";6;"CHILD PROTECTIVE SPECIALIST SU";"Social Services";"Full-Time";"Experienced (non-manager)";"492 First Avenue, New York, Ny";"6/30/2022";"$ 100 000 - $ 120 000"
650387;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"CITY RESEARCH SCIENTIST";"Health";"Full-Time";"Experienced (non-manager)";"30-30 47TH AVE";"9/5/2024";"$ 75 000 - $ 85 000"
683501;"DEPT OF ENVIRONMENT PROTECTION";"Internal";5;"ENVIRONMENTAL ENGINEERING INTE";"Engineering, Architecture, and Planning";"Full-Time";"Entry-Level";"96-05 Horace Harding Expway";"12/31/2024";"$ 65 000 - $ 75 000"
681648;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"AGENCY ATTORNEY";"Legal Affairs";"Full-Time";"Experienced (non-manager)";"59-17 Junction Blvd Corona Ny";"10/8/2024";"$ 120 000 - $ 140 000"
714095;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Social Services";"Full-Time";"Experienced (non-manager)";"275-285 Bergen St, Brooklyn Ny";"5/9/2025";"$ 65 000 - $ 75 000"
706581;"LAW DEPARTMENT";"External";2;"CLERICAL ASSOCIATE";"Legal Affairs";"Full-Time";"Entry-Level";"NYC - All Boroughs";"3/12/2025";"$ 65 000 - $ 75 000"
713741;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"COMMUNITY COORDINATOR";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"5/8/2025";"$ 65 000 - $ 75 000"
642501;"DEPT OF YOUTH & COMM DEV SRVS";"External";1;"COMPUTER SYSTEMS MANAGER";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"2 Lafayette St., N.Y.";"4/3/2025";"More than $ 140 000"
696342;"DEPT OF ENVIRONMENT PROTECTION";"Internal";3;"SUPERVISOR OF STOCK WORKERS";"Building Operations & Maintanence";"Full-Time";"Experienced (non-manager)";"725 West 135th Street";"1/15/2025";"$ 65 000 - $ 75 000"
704951;"EQUAL EMPLOY PRACTICES COMM";"Internal";1;"CITY RESEARCH SCIENTIST";"Policy, Research, and Analysis";"Full-Time";"Experienced (non-manager)";"253 Broadway New York Ny";"2/28/2025";"$ 100 000 - $ 120 000"
708877;"BRONX DISTRICT ATTORNEY";"Internal";1;"COMMUNITY COORDINATOR";"Policy, Research, and Analysis";"Full-Time";"Experienced (non-manager)";"215 E 161St St., Bronx";"3/25/2025";"$ 85 000 -$ 100 000"
711902;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";2;"SR HEALTHCARE PROG PLAN ANLYST";"Health";"Full-Time";"Experienced (non-manager)";"90-27 Parsons Boulevard";"4/23/2025";"$ 55 000 - $ 65 000"
639565;"HRA/DEPT OF SOCIAL SERVICES";"External";1;"COMPUTER SPECIALIST (SOFTWARE)";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"15 Metrotech";"6/27/2024";"$ 100 000 - $ 120 000"
687195;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ELECTRICAL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"12/31/2024";"$ 120 000 - $ 140 000"
